trade_date,close,open,high,low,change,pct_chg,vol,amount
20110105,181.08,184.9,185.4,180.5,-4.42,-2.38,58198.02,1064872.709
20110106,180.24,181.21,183.6,178.44,-0.84,-0.46,37584.56,677983.969
20110107,179.72,180.18,181.69,178.5,-0.52,-0.29,30533.8,548732.363
20110110,174.31,179.62,180.51,174.14,-5.41,-3.01,38784.83,687881.571
20110111,173.56,173.68,175.5,171.21,-0.75,-0.43,45322.1,787943.021
20110112,174.47,174.1,176.0,172.41,0.91,0.52,31323.25,546334.112
20110113,179.49,175.5,181.0,174.49,5.02,2.88,41341.74,740207.616
20110114,180.19,178.95,181.21,177.3,0.7,0.39,25772.66,461741.103
20110117,175.59,179.7,182.2,175.02,-4.6,-2.55,37475.16,673586.235
20110118,182.56,175.1,182.61,173.99,6.97,3.97,40962.35,738283.975
20110119,182.83,182.56,183.57,181.11,0.27,0.15,26198.67,478032.606
20110120,180.07,182.3,183.99,178.25,-2.76,-1.51,24523.05,444085.191
20110121,175.89,179.8,181.5,175.66,-4.18,-2.32,26867.37,479005.923
20110124,171.52,175.87,177.48,170.01,-4.37,-2.48,34775.49,601578.015
20110125,170.7,170.98,172.4,170.0,-0.82,-0.48,17238.64,294978.979
20110126,172.14,171.01,173.99,171.01,1.44,0.84,14325.71,247045.171
20110127,173.06,171.96,175.28,169.58,0.92,0.53,29444.27,507387.589
20110128,173.34,173.01,174.13,172.38,0.28,0.16,19591.43,339796.042
20110131,177.99,173.5,180.92,173.01,4.65,2.68,32442.43,577621.803
20110201,180.28,178.0,181.85,177.5,2.29,1.29,17758.46,319648.6
20110209,177.96,179.99,180.81,177.0,-2.32,-1.29,17675.31,317003.717
20110210,185.03,177.35,185.99,177.3,7.07,3.97,36008.75,656695.297
20110211,184.93,184.74,188.45,184.29,-0.1,-0.05,34001.41,634257.226
20110214,187.11,184.93,188.0,183.9,2.18,1.18,36639.15,681621.643
20110215,185.24,187.11,188.8,184.8,-1.87,-1.0,29716.4,554140.643
20110216,183.68,185.01,185.99,181.7,-1.56,-0.84,36440.18,667440.837
20110217,181.26,183.0,183.7,180.83,-2.42,-1.32,36363.8,662075.979
20110218,181.98,180.8,185.45,180.3,0.72,0.4,36828.73,676343.235
20110221,183.48,182.0,184.8,181.2,1.5,0.82,27289.85,498811.371
20110222,181.88,183.48,185.25,181.0,-1.6,-0.87,38293.8,701713.006
20110223,182.76,181.11,183.47,181.11,0.88,0.48,19422.29,353816.777
20110224,182.15,182.58,183.47,181.12,-0.61,-0.33,20476.31,373539.569
20110225,179.62,182.88,182.88,179.2,-2.53,-1.39,29413.43,532482.186
20110228,178.68,179.3,179.46,176.0,-0.94,-0.52,39093.1,693295.724
20110301,178.64,178.71,179.93,177.8,-0.04,-0.02,23059.41,411728.226
20110302,177.21,178.2,179.0,176.01,-1.43,-0.8,32095.5,569125.294
20110303,175.0,177.27,178.69,174.75,-2.21,-1.25,37735.09,663456.221
20110304,175.93,175.0,176.78,174.5,0.93,0.53,33351.19,587411.61
20110307,177.38,175.84,177.53,175.84,1.45,0.82,33553.69,593119.911
